TEST PURGE
26/06/2026 04:38:56 WAT - JUGEMENT : 0 misericorde. Feu déclenché.
26/06/2026 04:38:56 WAT - FEU EXECUTE : Ames déplacées vers Jugement_Final
26/06/2026 05:21:22 WAT - VEILLEUR J-1 : 11 activé ABSENT. Dernière chance demain 17:37
26/06/2026 05:26:37 WAT - GRACE : 11 activé trouvé. Cron se tait. NOMBRES 35:12
26/06/2026 05:30:30 WAT - GRACE : 11 activé trouvé. Cron se tait. NOMBRES 35:12
26/06/2026 05:36:30 WAT - GRACE : 11 activé trouvé. Cron se tait. NOMBRES 35:12
26/06/2026 05:40:15 WAT - GRACE : 11 activé trouvé. Cron se tait. NOMBRES 35:12
26/06/2026 05:40:38 WAT - GRACE : 11 activé trouvé. Cron se tait. NOMBRES 35:12
26/06/2026 05:41:44 WAT - GRACE : 11 activé trouvé. Cron se tait. NOMBRES 35:12
26/06/2026 05:45:32 WAT - GRACE : 11 activé trouvé. Cron se tait. NOMBRES 35:12
26/06/2026 05:49:58 WAT - GRACE : 11 activé trouvé. Cron se tait. NOMBRES 35:12
26/06/2026 05:55:36 WAT - GRACE : 11 activé trouvé. Cron se tait. NOMBRES 35:12
26/06/2026 06:10:41 WAT - GRACE : 11 activé trouvé. Cron se tait. NOMBRES 35:12
26/06/2026 06:24:50 WAT - GRACE : 11 activé trouvé. Cron se tait. NOMBRES 35:12
26/06/2026 06:39:45 WAT - GRACE : 11 activé trouvé. Cron se tait. NOMBRES 35:12
26/06/2026 06:54:37 WAT - GRACE : 11 activé trouvé. Cron se tait. NOMBRES 35:12
26/06/2026 07:10:02 WAT - GRACE : 11 activé trouvé. Cron se tait. NOMBRES 35:12
26/06/2026 07:24:50 WAT - GRACE : 11 activé trouvé. Cron se tait. NOMBRES 35:12
26/06/2026 07:39:35 WAT - GRACE : 11 activé trouvé. Cron se tait. NOMBRES 35:12
26/06/2026 07:54:47 WAT - GRACE : 11 activé trouvé. Cron se tait. NOMBRES 35:12
26/06/2026 08:09:36 WAT - GRACE : 11 activé trouvé. Cron se tait. NOMBRES 35:12
26/06/2026 08:24:47 WAT - GRACE : 11 activé trouvé. Cron se tait. NOMBRES 35:12
26/06/2026 08:40:20 WAT - GRACE : 11 activé trouvé. Cron se tait. NOMBRES 35:12
26/06/2026 08:55:07 WAT - GRACE : 11 activé trouvé. Cron se tait. NOMBRES 35:12
26/06/2026 09:09:35 WAT - GRACE : 11 activé trouvé. Cron se tait. NOMBRES 35:12
26/06/2026 09:26:04 WAT - GRACE : 11 activé trouvé. Cron se tait. NOMBRES 35:12
26/06/2026 09:40:00 WAT - GRACE : 11 activé trouvé. Cron se tait. NOMBRES 35:12
26/06/2026 09:54:55 WAT - GRACE : 11 activé trouvé. Cron se tait. NOMBRES 35:12
26/06/2026 10:09:36 WAT - GRACE : 11 activé trouvé. Cron se tait. NOMBRES 35:12
26/06/2026 10:24:42 WAT - GRACE : 11 activé trouvé. Cron se tait. NOMBRES 35:12
26/06/2026 10:39:40 WAT - GRACE : 11 activé trouvé. Cron se tait. NOMBRES 35:12
26/06/2026 10:54:40 WAT - GRACE : 11 activé trouvé. Cron se tait. NOMBRES 35:12
26/06/2026 11:10:44 WAT - GRACE : 11 activé trouvé. Cron se tait. NOMBRES 35:12
26/06/2026 11:25:40 WAT - GRACE : 11 activé trouvé. Cron se tait. NOMBRES 35:12
26/06/2026 11:39:50 WAT - GRACE : 11 activé trouvé. Cron se tait. NOMBRES 35:12
26/06/2026 11:56:57 WAT - GRACE : 11 activé trouvé. Cron se tait. NOMBRES 35:12
26/06/2026 12:11:15 WAT - GRACE : 11 activé trouvé. Cron se tait. NOMBRES 35:12
26/06/2026 12:25:59 WAT - GRACE : 11 activé trouvé. Cron se tait. NOMBRES 35:12
26/06/2026 12:40:32 WAT - GRACE : 11 activé trouvé. Cron se tait. NOMBRES 35:12
26/06/2026 12:55:16 WAT - GRACE : 11 activé trouvé. Cron se tait. NOMBRES 35:12
26/06/2026 13:09:31 WAT - GRACE : 11 activé trouvé. Cron se tait. NOMBRES 35:12
26/06/2026 13:24:47 WAT - GRACE : 11 activé trouvé. Cron se tait. NOMBRES 35:12
26/06/2026 13:40:44 WAT - GRACE : 11 activé trouvé. Cron se tait. NOMBRES 35:12
26/06/2026 13:56:03 WAT - GRACE : 11 activé trouvé. Cron se tait. NOMBRES 35:12
26/06/2026 14:09:44 WAT - GRACE : 11 activé trouvé. Cron se tait. NOMBRES 35:12
26/06/2026 14:24:32 WAT - GRACE : 11 activé trouvé. Cron se tait. NOMBRES 35:12
26/06/2026 14:40:04 WAT - GRACE : 11 activé trouvé. Cron se tait. NOMBRES 35:12
26/06/2026 14:55:58 WAT - GRACE : 11 activé trouvé. Cron se tait. NOMBRES 35:12
26/06/2026 15:13:15 WAT - GRACE : 11 activé trouvé. Cron se tait. NOMBRES 35:12
26/06/2026 15:24:52 WAT - GRACE : 11 activé trouvé. Cron se tait. NOMBRES 35:12
26/06/2026 15:39:55 WAT - GRACE : 11 activé trouvé. Cron se tait. NOMBRES 35:12
26/06/2026 15:56:03 WAT - GRACE : 11 activé trouvé. Cron se tait. NOMBRES 35:12
26/06/2026 16:11:03 WAT - GRACE : 11 activé trouvé. Cron se tait. NOMBRES 35:12
26/06/2026 16:24:31 WAT - GRACE : 11 activé trouvé. Cron se tait. NOMBRES 35:12
26/06/2026 16:40:12 WAT - GRACE : 11 activé trouvé. Cron se tait. NOMBRES 35:12
26/06/2026 16:54:57 WAT - GRACE : 11 activé trouvé. Cron se tait. NOMBRES 35:12
26/06/2026 17:09:58 WAT - GRACE : 11 activé trouvé. Cron se tait. NOMBRES 35:12
26/06/2026 17:25:10 WAT - GRACE : 11 activé trouvé. Cron se tait. NOMBRES 35:12
26/06/2026 17:39:40 WAT - GRACE : 11 activé trouvé. Cron se tait. NOMBRES 35:12
26/06/2026 17:56:03 WAT - GRACE : 11 activé trouvé. Cron se tait. NOMBRES 35:12
26/06/2026 18:10:32 WAT - GRACE : 11 activé trouvé. Cron se tait. NOMBRES 35:12
26/06/2026 18:27:13 WAT - GRACE : 11 activé trouvé. Cron se tait. NOMBRES 35:12
26/06/2026 18:39:41 WAT - GRACE : 11 activé trouvé. Cron se tait. NOMBRES 35:12
26/06/2026 18:55:29 WAT - GRACE : 11 activé trouvé. Cron se tait. NOMBRES 35:12
26/06/2026 19:10:12 WAT - GRACE : 11 activé trouvé. Cron se tait. NOMBRES 35:12
26/06/2026 19:24:30 WAT - GRACE : 11 activé trouvé. Cron se tait. NOMBRES 35:12
26/06/2026 19:40:35 WAT - GRACE : 11 activé trouvé. Cron se tait. NOMBRES 35:12
26/06/2026 19:56:03 WAT - GRACE : 11 activé trouvé. Cron se tait. NOMBRES 35:12
26/06/2026 20:09:49 WAT - GRACE : 11 activé trouvé. Cron se tait. NOMBRES 35:12
26/06/2026 20:26:03 WAT - GRACE : 11 activé trouvé. Cron se tait. NOMBRES 35:12
26/06/2026 20:41:02 WAT - GRACE : 11 activé trouvé. Cron se tait. NOMBRES 35:12
26/06/2026 20:56:03 WAT - GRACE : 11 activé trouvé. Cron se tait. NOMBRES 35:12
26/06/2026 21:11:03 WAT - GRACE : 11 activé trouvé. Cron se tait. NOMBRES 35:12
26/06/2026 21:26:08 WAT - GRACE : 11 activé trouvé. Cron se tait. NOMBRES 35:12
26/06/2026 21:41:03 WAT - GRACE : 11 activé trouvé. Cron se tait. NOMBRES 35:12
26/06/2026 21:56:06 WAT - GRACE : 11 activé trouvé. Cron se tait. NOMBRES 35:12
26/06/2026 22:10:53 WAT - GRACE : 11 activé trouvé. Cron se tait. NOMBRES 35:12
26/06/2026 22:24:45 WAT - GRACE : 11 activé trouvé. Cron se tait. NOMBRES 35:12
26/06/2026 22:40:09 WAT - GRACE : 11 activé trouvé. Cron se tait. NOMBRES 35:12
26/06/2026 22:54:55 WAT - GRACE : 11 activé trouvé. Cron se tait. NOMBRES 35:12
27/06/2026 05:13:54 WAT - GRACE : 11 activé trouvé. Cron se tait. NOMBRES 35:12
27/06/2026 05:20:38 WAT - GRACE : 11 activé trouvé. Cron se tait. NOMBRES 35:12
27/06/2026 05:36:02 WAT - GRACE : 11 activé trouvé. Cron se tait. NOMBRES 35:12
27/06/2026 05:51:02 WAT - GRACE : 11 activé trouvé. Cron se tait. NOMBRES 35:12
27/06/2026 05:51:02 WAT - GRACE : 11 activé trouvé. Cron se tait. NOMBRES 35:12
27/06/2026 06:11:02 WAT - GRACE : 11 activé trouvé. Cron se tait. NOMBRES 35:12
27/06/2026 06:27:13 WAT - GRACE : 11 activé trouvé. Cron se tait. NOMBRES 35:12
27/06/2026 06:37:28 WAT - GRACE : 11 activé trouvé. Cron se tait. NOMBRES 35:12
27/06/2026 06:50:27 WAT - GRACE : 11 activé trouvé. Cron se tait. NOMBRES 35:12
27/06/2026 07:06:58 WAT - GRACE : 11 activé trouvé. Cron se tait. NOMBRES 35:12
27/06/2026 07:20:54 WAT - GRACE : 11 activé trouvé. Cron se tait. NOMBRES 35:12
